Team,Division,Conference
Toronto Raptors,Atlantic Division,Eastern Conference
Boston Celtics,Atlantic Division,Eastern Conference
Philadelphia 76ers,Atlantic Division,Eastern Conference
Brooklyn Nets,Atlantic Division,Eastern Conference
New York Knicks,Atlantic Division,Eastern Conference
Milwaukee Bucks,Central Division,Eastern Conference
Indiana Pacers,Central Division,Eastern Conference
Chicago Bulls,Central Division,Eastern Conference
Detroit Pistons,Central Division,Eastern Conference
Cleveland Cavaliers,Central Division,Eastern Conference
Miami Heat,Southeast Division,Eastern Conference
Orlando Magic,Southeast Division,Eastern Conference
Charlotte Hornets,Southeast Division,Eastern Conference
Washington Wizards,Southeast Division,Eastern Conference
Atlanta Hawks,Southeast Division,Eastern Conference
Philadelphia 76ers,Northwest Division,Western Conference
Brooklyn Nets,Northwest Division,Western Conference
New York Knicks,Northwest Division,Western Conference
Boston Celtics,Northwest Division,Western Conference
Toronto Raptors,Northwest Division,Western Conference
Milwaukee Bucks,Pacific Division,Western Conference
Indiana Pacers,Pacific Division,Western Conference
Chicago Bulls,Pacific Division,Western Conference
Cleveland Cavaliers,Pacific Division,Western Conference
Detroit Pistons,Pacific Division,Western Conference
Atlanta Hawks,Southwest Division,Western Conference
Miami Heat,Southwest Division,Western Conference
Washington Wizards,Southwest Division,Western Conference
Charlotte Hornets,Southwest Division,Western Conference
Orlando Magic,Southwest Division,Western Conference
Denver Nuggets,Atlantic Division,Eastern Conference
Oklahoma City Thunder,Atlantic Division,Eastern Conference
Utah Jazz,Atlantic Division,Eastern Conference
Portland Trail Blazers,Atlantic Division,Eastern Conference
Minnesota Timberwolves,Atlantic Division,Eastern Conference
Los Angeles Lakers,Central Division,Eastern Conference
Los Angeles Clippers,Central Division,Eastern Conference
Phoenix Suns,Central Division,Eastern Conference
Sacramento Kings,Central Division,Eastern Conference
Golden State Warriors,Central Division,Eastern Conference
Houston Rockets,Southeast Division,Eastern Conference
Dallas Mavericks,Southeast Division,Eastern Conference
Memphis Grizzlies,Southeast Division,Eastern Conference
San Antonio Spurs,Southeast Division,Eastern Conference
New Orleans Pelicans,Southeast Division,Eastern Conference
Utah Jazz,Northwest Division,Western Conference
Denver Nuggets,Northwest Division,Western Conference
Portland Trail Blazers,Northwest Division,Western Conference
Minnesota Timberwolves,Northwest Division,Western Conference
Oklahoma City Thunder,Northwest Division,Western Conference
Phoenix Suns,Pacific Division,Western Conference
Los Angeles Clippers,Pacific Division,Western Conference
Los Angeles Lakers,Pacific Division,Western Conference
Golden State Warriors,Pacific Division,Western Conference
Sacramento Kings,Pacific Division,Western Conference
Dallas Mavericks,Southwest Division,Western Conference
Memphis Grizzlies,Southwest Division,Western Conference
San Antonio Spurs,Southwest Division,Western Conference
New Orleans Pelicans,Southwest Division,Western Conference
Houston Rockets,Southwest Division,Western Conference
