full_name,abbreviation,url_format,team_logo_url
Atlanta Hawks,ATL,atlanta-hawks,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png
Boston Celtics,BOS,boston-celtics,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png
Cleveland Cavaliers,CLE,cleveland-cavaliers,https://loodibee.com/wp-content/uploads/nba-cleveland-cavaliers-logo.png
New Orleans Pelicans,NOP,new-orleans-pelicans,https://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo.png
Chicago Bulls,CHI,chicago-bulls,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png
Dallas Mavericks,DAL,dallas-mavericks,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png
Denver Nuggets,DEN,denver-nuggets,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo.png
Golden State Warriors,GSW,golden-state-warriors,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo.png
Houston Rockets,HOU,houston-rockets,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png
Los Angeles Clippers,LAC,los-angeles-clippers,https://loodibee.com/wp-content/uploads/nba-los-angeles-clippers-logo.png
Los Angeles Lakers,LAL,los-angeles-lakers,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png
Miami Heat,MIA,miami-heat,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png
Milwaukee Bucks,MIL,milwaukee-bucks,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png
Minnesota Timberwolves,MIN,minnesota-timberwolves,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png
Brooklyn Nets,BKN,brooklyn-nets,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png
New York Knicks,NYK,new-york-knicks,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png
Orlando Magic,ORL,orlando-magic,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png
Indiana Pacers,IND,indiana-pacers,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png
Philadelphia 76ers,PHI,philadelphia-76ers,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png
Phoenix Suns,PHX,phoenix-suns,https://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo.png
Portland Trail Blazers,POR,portland-trail-blazers,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png
Sacramento Kings,SAC,sacramento-kings,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png
San Antonio Spurs,SAS,san-antonio-spurs,https://loodibee.com/wp-content/uploads/nba-san-antonio-spurs-logo.png
Oklahoma City Thunder,OKC,oklahoma-city-thunder,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png
Toronto Raptors,TOR,toronto-raptors,https://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo.png
Utah Jazz,UTA,utah-jazz,https://loodibee.com/wp-content/uploads/nba-utah-jazz-logo.png
Memphis Grizzlies,MEM,memphis-grizzlies,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png
Washington Wizards,WAS,washington-wizards,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png
Detroit Pistons,DET,detroit-pistons,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png
Charlotte Hornets,CHA,charlotte-hornets,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png
